city_querry;;
АБАКАН;  true,;АБАКАН
Чаплыгин;  true,;Чаплыгин
МАЙКОП;  true,;МАЙКОП
МАГАДАН;  true,;МАГАДАН
Омсукчан;  true,;Омсукчан
Палатка;  true,;Палатка
Сеймчан;  true,;Сеймчан
Сусуман;  true,;Сусуман
Усть-Омчуг;  true,;Усть-Омчуг
МАХАЧКАЛА;  true,;МАХАЧКАЛА
МОСКВА;  true,;МОСКВА
Волоколамск;  true,;Волоколамск
Воскресенск;  true,;Воскресенск
Голицыно;  true,;Голицыно
Дмитров;  true,;Дмитров
Домодедово;  true,;Домодедово
Дубна;  true,;Дубна
Зарайск;  true,;Зарайск
Звенигород;  true,;Звенигород
Егорьевск;  true,;Егорьевск
Жуковский;  true,;Жуковский
Истра;  true,;Истра
Клин;  true,;Клин
Коломна;  true,;Коломна
Лотошино;  true,;Лотошино
Луховицы;  true,;Луховицы
Можайск;  true,;Можайск
Наро-Фоминск;  true,;Наро-Фоминск
Ногинск;  true,;Ногинск
Озеры;  true,;Озеры
Орехово-Зуево;  true,;Орехово-Зуево
Павловский Посад;  false,;
Подольск;  true,;Подольск
Пушкино;  true,;Пушкино
Раменское;  true,;Раменское
Руза;  true,;Руза
Серебряные Пруды;  false,;
Серпухов;  true,;Серпухов
Сергиев Посад;  true,;Сергиев Посад
Солнечногорск;  true,;Солнечногорск
Ступино;  true,;Ступино
Талдом;  true,;Талдом
Троицк;  true,;Троицк
Шатура;  true,;Шатура
Шаховская;  true,;Шаховская
Щелково;  true,;Щелково
Чехов;  true,;Чехов
Электросталь;  true,;Электросталь
МУРМАНСК;  true,;МУРМАНСК
Апатиты;  true,;Апатиты
Заполярный;  true,;Заполярный
Заозерск;  true,;Заозерск
Кандалакша;  true,;Кандалакша
Кировск;  true,;Кировск
Ковдор;  true,;Ковдор
Кола;  true,;Кола
Ловозеро;  true,;Ловозеро
Мончегорск;  true,;Мончегорск
Оленегорск;  true,;Оленегорск
Североморск;  true,;Североморск
Снежногорск;  true,;Снежногорск
Полярный;  true,;Полярный
Полярные Зори;  true,;Полярные Зори
Умба;  true,;Умба
НАБ. ЧЕЛНЫ;  true,;НАБ. ЧЕЛНЫ
Агрыз;  true,;Агрыз
Азнакаево;  true,;Азнакаево
Актаныш;  true,;Актаныш
Альметьевск;  true,;Альметьевск
Бавлы;  true,;Бавлы
Бугульма;  true,;Бугульма
Елабуга;  true,;Елабуга
Лениногорск;  true,;Лениногорск
Заинск;  true,;Заинск
Мамадыш;  true,;Мамадыш
Менделеевск;  true,;Менделеевск
Мензелинск;  true,;Мензелинск
Муслюмово;  true,;Муслюмово
Нижнекамск;  true,;Нижнекамск
Сарманово;  true,;Сарманово
Уруссу;  true,;Уруссу
НИЖ. НОВГОРОД;  true,;НИЖ. НОВГОРОД
Ардатов;  true,;Ардатов
Арзамас;  true,;Арзамас
Балахна;  true,;Балахна
Богородск;  true,;Богородск
Большое Болдино;  true,;Большое Болдино
Большое Мурашкино;  false,;
Бор;  true,;Бор
Бутурлино;  true,;Бутурлино
Вад;  true,;Вад
Вача;  true,;Вача
Ветлуга;  true,;Ветлуга
Вознесенское;  true,;Вознесенское
Воскресенское;  true,;Воскресенское
Выкса;  true,;Выкса
Гагино;  true,;Гагино
Городец;  true,;Городец
Дальнее Константиново;  false,;
Дзержинск;  true,;Дзержинск
Дивеево;  true,;Дивеево
Ковернино;  true,;Ковернино
Кстово;  true,;Кстово
Кулебаки;  true,;Кулебаки
Лукоянов;  true,;Лукоянов
Лысково;  true,;Лысково
Навашино;  true,;Навашино
Павлово;  true,;Павлово
Первомайск;  true,;Первомайск
Перевоз;  true,;Перевоз
Пильна;  true,;Пильна
Починки;  true,;Починки
Саров;  true,;Саров
Семенов;  true,;Семенов
Сергач;  true,;Сергач
Сеченово;  true,;Сеченово
Сосновское;  true,;Сосновское
Спасское;  true,;Спасское
Тонкино;  true,;Тонкино
Уразовка;  true,;Уразовка
Урень;  true,;Урень
Чкаловск;  true,;Чкаловск
Шаранга;  true,;Шаранга
Шатки;  true,;Шатки
Шахунья;  true,;Шахунья
ВЕЛИКИЙ НОВГОРОД;  false,;
Батецкий;  true,;Батецкий
Боровичи;  true,;Боровичи
Валдай;  true,;Валдай
Волот;  true,;Волот
Демянск;  true,;Демянск
Крестцы;  true,;Крестцы
Любытино;  true,;Любытино
Малая Вишера;  true,;Малая Вишера
Марево;  true,;Марево
Мошенское;  true,;Мошенское
Окуловка;  true,;Окуловка
Парфино;  true,;Парфино
Пестово;  true,;Пестово
Поддорье;  true,;Поддорье
Сольцы;  true,;Сольцы
Старая Русса;  true,;Старая Русса
Шимск;  true,;Шимск
Хвойная;  true,;Хвойная
Холм;  true,;Холм
Чудово;  true,;Чудово
НОВОРОССИЙСК;  true,;НОВОРОССИЙСК
НОВОСИБИРСК;  true,;НОВОСИБИРСК
Баган;  true,;Баган
Барабинск;  true,;Барабинск
Бердск;  true,;Бердск
Болотное;  true,;Болотное
Венгерово;  true,;Венгерово
Здвинск;  true,;Здвинск
Искитим;  true,;Искитим
Карасук;  true,;Карасук
Каргат;  true,;Каргат
Колывань;  true,;Колывань
Коченево;  true,;Коченево
Кочки;  true,;Кочки
Краснозерское;  true,;Краснозерское
Куйбышев;  true,;Куйбышев
Купино;  true,;Купино
Кыштовка;  true,;Кыштовка
Маслянино;  true,;Маслянино
Мошково;  true,;Мошково
Обь;  true,;Обь
Ордынское;  true,;Ордынское
Северное;  true,;Северное
Сузун;  true,;Сузун
Татарск;  true,;Татарск
Тогучин;  true,;Тогучин
Убинское;  true,;Убинское
Усть-Тарка;  true,;Усть-Тарка
Чаны;  true,;Чаны
Черепаново;  true,;Черепаново
Чистоозерное;  true,;Чистоозерное
Чулым;  true,;Чулым
ОМСК;  true,;ОМСК
Большеречье;  true,;Большеречье
Знаменское;  true,;Знаменское
Исилькуль;  true,;Исилькуль
Калачинск;  true,;Калачинск
Колосовка;  true,;Колосовка
Кормиловка;  true,;Кормиловка
Крутинка;  true,;Крутинка
Любинский;  true,;Любинский
Марьяновка;  true,;Марьяновка
Москаленки;  true,;Москаленки
Муромцево;  true,;Муромцево
Называевск;  true,;Называевск
Нововаршавка;  true,;Нововаршавка
Одесское;  true,;Одесское
Оконешниково;  true,;Оконешниково
Павлоградка;  true,;Павлоградка
Полтавка;  true,;Полтавка
Русская Поляна;  true,;Русская Поляна
Саргатское;  true,;Саргатское
Седельниково;  true,;Седельниково
Таврическое;  true,;Таврическое
Тара;  true,;Тара
Тевриз;  true,;Тевриз
Тюкалинск;  true,;Тюкалинск
Усть-Ишим;  true,;Усть-Ишим
Черлак;  true,;Черлак
Щербакуль;  false,;
ОРЕЛ;  true,;ОРЕЛ
Болхов;  true,;Болхов
Верховье;  true,;Верховье
Глазуновка;  true,;Глазуновка
Дмитровск-Орловск;  false,;
Залегощь;  true,;Залегощь
Знаменка;  true,;Знаменка
Колпны;  false,;
Кромы;  true,;Кромы
